¿Cuál es el derivado embrionario de las vértebras?	Esclerotomo
¿Cuál es el derivado embrionario principal de la musculatura esquelética?	Miotomo
¿Cuál es el derivado embrionario de la dermis?	Dermatomo
¿De qué estructura deriva principalmente el aparato locomotor?	Lámina interna del somito
¿Qué estructura permite el crecimiento longitudinal de los huesos?	Placas fisarias
¿Qué tipo de articulación es la ATM?	Sinovial compleja con disco
¿Qué estructura presenta la ATM entre sus superficies articulares?	Disco articular
¿Cómo es la cápsula articular de la ATM?	Laxa
¿Cuál es el ligamento principal de la ATM?	Temporomandibular
¿Qué músculo es el principal propulsor de la mandíbula?	Pterigoideo lateral
¿Qué músculo desplaza lateralmente la mandíbula?	Pterigoideo lateral
¿Qué músculo masticador no eleva la mandíbula?	Pterigoideo lateral
¿Qué músculo retrae la mandíbula?	Temporal
¿Qué músculo actúa como potente elevador de la mandíbula?	Masetero
¿Qué músculo aumenta la presión intraoral?	Buccinador
¿Qué músculo de la mímica está inervado por el nervio facial?	Cigomático mayor
¿Cuál es un músculo prevertebral típico?	Largo del cuello
¿Qué nervio pasa por delante del escaleno anterior?	Frénico
¿Qué vena se sitúa anterior al escaleno anterior?	Subclavia
¿Qué arteria pasa posterior al escaleno anterior?	Subclavia
¿Qué parte del plexo braquial se localiza posterior al escaleno anterior?	Raíces
¿Cuál es la estructura más anterior del cuello en un corte transversal?	Esternohioideo
¿Cuál es el músculo más profundo de la región nucal?	Recto posterior menor de la cabeza
¿Qué músculo participa en la extensión de la cabeza?	Semiespinoso de la cabeza
¿Qué músculo puede producir flexión lateral del cuello?	Largo del cuello
¿Qué músculo rota contralateralmente la cabeza?	ECM
¿Qué músculo no produce rotación contralateral de la cabeza?	Esplenio de la cabeza
¿Qué une el ligamento amarillo?	Láminas vertebrales
¿Dónde se sitúan los ligamentos interespinosos?	Entre supraespinoso y amarillo
¿De qué ligamento es continuación la membrana tectoria?	Ligamento longitudinal posterior
¿Qué ligamento se considera la superficie articular de C1-C2?	Transverso del atlas
¿Cuál es la afirmación correcta sobre la carótida común en el cuello?	No da ramas en el cuello
¿Cuál es la afirmación correcta sobre la carótida interna en el cuello?	No da ramas en el cuello
¿Qué mnemotecnia resume las ramas de la carótida externa?	SALFOPMS
¿Qué arteria no es rama de la carótida externa?	Tiroidea inferior
¿Cuál de estas arterias no pertenece a las ramas de la carótida externa?	Cervical ascendente
